name,location,description,estimated_days,image_url
Kerala,India,Backwaters and greenery,4,https://plus.unsplash.com/premium_photo-1697729438401-fcb4ff66d9a8?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8a2VyZWxhfGVufDB8fDB8fHww
Ooty,India,Cool hill station in Tamil Nadu,3,https://images.unsplash.com/photo-1660918738010-295b09857f93?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8b290eXxlbnwwfHwwfHx8MA%3D%3D
Coorg,India,Coffee plantations and misty hills,3,https://images.unsplash.com/flagged/photo-1592544858330-7ac10a0468e5?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8M3x8Y29vcmd8ZW58MHx8MHx8fDA%3D
Hampi,India,Ancient ruins and heritage site,2,https://plus.unsplash.com/premium_photo-1697730337612-8bd916249e30?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8aGFtcGl8ZW58MHx8MHx8fDA%3D
Amritsar,India,Golden Temple and rich culture,2,https://plus.unsplash.com/premium_photo-1697730324062-c012bc98eb13?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8YW1yaXRzYXJ8ZW58MHx8MHx8fDA%3D
Varanasi,India,Spiritual city on Ganges,2,https://images.unsplash.com/photo-1561359313-0639aad49ca6?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8dmFyYW5hc2l8ZW58MHx8MHx8fDA%3D
Delhi,India,Capital city with history and modern life,3,https://images.unsplash.com/photo-1587474260584-136574528ed5?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8ZGVsaGl8ZW58MHx8MHx8fDA%3D
Mumbai,India,Financial capital with beaches,3,https://images.unsplash.com/photo-1562979314-bee7453e911c?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8bXVtYmFpfGVufDB8fDB8fHww
Pondicherry,India,French-style coastal town,2,https://media.istockphoto.com/id/121395273/photo/the-path-leading-to-entrance-of-matrimandir-in-auroville-india.webp?a=1&b=1&s=612x612&w=0&k=20&c=BQjLFKbQIqTmhNaAL0Kqt1pqK9DkHV6HmClCppFftIE=
Andaman,India,Island destination with clear waters,4,https://plus.unsplash.com/premium_photo-1661962958462-9e52fda9954d?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8YW5kYW1hbnxlbnwwfHwwfHx8MA%3D%3D
Dubai,UAE,Luxury city with skyscrapers,3,https://plus.unsplash.com/premium_photo-1697729914552-368899dc4757?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8ZHViYWl8ZW58MHx8MHx8fDA%3D
Abu Dhabi,UAE,Cultural and modern attractions,3,https://plus.unsplash.com/premium_photo-1697730217428-fa63a4efa669?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8YWJ1ZGhhYml8ZW58MHx8MHx8fD
Paris,France,City of love and Eiffel Tower,3,https://plus.unsplash.com/premium_photo-1661919210043-fd847a58522d?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8cGFyaXN8ZW58MHx8MHx8fDA%3D
London,UK,Historic city with modern vibe,3,https://plus.unsplash.com/premium_photo-1671734045770-4b9e1a5e53a0?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8bG9uZG9ufGVufDB8fDB8fHww
Rome,Italy,Ancient ruins and art,3,https://plus.unsplash.com/premium_photo-1675975706513-9daba0ec12a8?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8cm9tZXxlbnwwfHwwfHx8MA%3D%3D
Venice,Italy,City of canals,2,https://plus.unsplash.com/premium_photo-1661963047742-dabc5a735357?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8dmVuaWNlfGVufDB8fDB8fHww
Barcelona,Spain,Architecture and beaches,3,https://images.unsplash.com/photo-1628022228262-f0d14f725241?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8YnJhY2Vsb25hfGVufDB8fDB8fHww
Madrid,Spain,Capital with vibrant culture,3,https://media.istockphoto.com/id/508451794/photo/cibeles-fountain-at-plaza-de-cibeles-in-madrid.webp?a=1&b=1&s=612x612&w=0&k=20&c=uNWDi1fNrIuamyLH_ogt_c0GyafGuJKvTt4R_Cjr4gw=
Berlin,Germany,Historic and modern mix,3,https://plus.unsplash.com/premium_photo-1677486562712-d03d3d9ac23d?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8YmVybGlufGVufDB8fDB8fHww
Amsterdam,Netherlands,Canals and museums,2,https://plus.unsplash.com/premium_photo-1661878122586-2d75a86f3400?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8YW1zdGVyZGFufGVufDB8fDB8fHww
Zurich,Switzerland,Scenic city with mountains,3,https://plus.unsplash.com/premium_photo-1674680852778-c59c7fd89985?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8enVyaWNofGVufDB8fDB8fHww
Geneva,Switzerland,Lakeside city,2,https://plus.unsplash.com/premium_photo-1742457702508-c351f0436770?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8Z2VuZXZhfGVufDB8fDB8fHww
Vienna,Austria,Music and imperial palaces,2,https://plus.unsplash.com/premium_photo-1716932567535-6bb42a3f38ff?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8dmllbm5hfGVufDB8fDB8fHww
Prague,Czech Republic,Fairytale architecture,2,https://plus.unsplash.com/premium_photo-1661963067279-2f7bf970c49c?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8cHJhZ3VlfGVufDB8fDB8fHww
Budapest,Hungary,Thermal baths and history,2,https://plus.unsplash.com/premium_photo-1680721310107-46b29d3b1d7f?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8YnVkYXBlc3R8ZW58MHx8MHx8fDA%3D
Athens,Greece,Ancient ruins and culture,3,https://plus.unsplash.com/premium_photo-1661911756283-fd0fbefee201?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8YXRoZW5zfGVufDB8fDB8fHww
Santorini,Greece,White buildings and sunsets,3,https://plus.unsplash.com/premium_photo-1661964149725-fbf14eabd38c?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8c2FudG9yaW5pfGVufDB8fDB8fHww
Istanbul,Turkey,Bridge between Europe and Asia,3,https://plus.unsplash.com/premium_photo-1691338312403-e9f7f7984eeb?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8aXN0YW5idWx8ZW58MHx8MHx8fDA%3D
Cairo,Egypt,Pyramids and ancient history,3,https://plus.unsplash.com/premium_photo-1697729777503-5a6ff8d6d877?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8Y2Fpcm98ZW58MHx8MHx8fDA%3D
Cape Town,South Africa,Coastal beauty and mountains,3,https://plus.unsplash.com/premium_photo-1697730061063-ad499e343f26?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8Y2FwZXRvd258ZW58MHx8MHx8fDA%3D
New York,USA,The city that never sleeps,3,https://plus.unsplash.com/premium_photo-1714051660720-888e8454a021?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8bmV3JTIweW9ya3xlbnwwfHwwfHx8MA%3D%3D
Los Angeles,USA,Hollywood and beaches,3,https://plus.unsplash.com/premium_photo-1670992114006-7f981b6a5fe6?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8bGFzJTIwYW5nZWxlc3xlbnwwfHwwfHx8MA%3D%3D
Las Vegas,USA,Entertainment capital,2,https://plus.unsplash.com/premium_photo-1671132512859-f50459af3812?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8bGFzJTIwdmVnYXN8ZW58MHx8MHx8fDA%3D
San Francisco,USA,Golden Gate Bridge city,3,https://plus.unsplash.com/premium_photo-1697729451716-b76984b92fda?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8c2FuZmFuY2lzY298ZW58MHx8MHx8fDA%3D
Chicago,USA,Architecture and lakefront,3,https://plus.unsplash.com/premium_photo-1669927131902-a64115445f0f?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8Y2hpY2Fnb3xlbnwwfHwwfHx8MA%3D%3D
Toronto,Canada,Modern city with CN Tower,3,https://plus.unsplash.com/premium_photo-1694475481348-7cbe417be129?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8dG9yb250b3xlbnwwfHwwfHx8MA%3D%3D
Vancouver,Canada,Nature and city blend,3,https://plus.unsplash.com/premium_photo-1697729974122-9c8ce287c0f3?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8dmFuY291dmVyfGVufDB8fDB8fHww
Mexico City,Mexico,Historic and vibrant culture,3,https://plus.unsplash.com/premium_photo-1676517032044-5d602374a95b?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8bWV4aWNvfGVufDB8fDB8fHww
Rio de Janeiro,Brazil,Beaches and carnival,3,https://plus.unsplash.com/premium_photo-1671211307997-f4f552b0601c?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8cmlvJTIwZGUlMjBqYW5laXJvfGVufDB8fDB8fHww
Buenos Aires,Argentina,European-style city,3,https://media.istockphoto.com/id/2233683263/photo/argentine-flag-flying-in-the-wind-atop-argentina-surpreme-court-in-buenos-aires.webp?a=1&b=1&s=612x612&w=0&k=20&c=IWBG7anPmRC47FMD5WtOV3ohtG6KZaenst0G9O4QShw=
Sydney,Australia,Opera House and harbour,3,https://plus.unsplash.com/premium_photo-1697730198238-48ee2f2fe1b7?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8c3lkbmV5fGVufDB8fDB8fHww
Melbourne,Australia,Art and coffee culture,3,https://plus.unsplash.com/premium_photo-1733317293766-5606f74b765b?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8bWVsYm91cm5lfGVufDB8fDB8fHww
Auckland,New Zealand,Harbour city with nature,3,https://images.unsplash.com/photo-1761999108942-96a681907225?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8M3x8YXVja2xhYW5kfGVufDB8fDB8fHww
Queenstown,New Zealand,Adventure capital,4,https://plus.unsplash.com/premium_photo-1661882021629-2b0888d93c94?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8cXVlZW5zdG93bnxlbnwwfHwwfHx8MA%3D%3D
Bali,Indonesia,Tropical island paradise,4,https://plus.unsplash.com/premium_photo-1677829177642-30def98b0963?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8YmFsaXxlbnwwfHwwfHx8MA%3D%3D
Jakarta,Indonesia,Busy capital city,3,https://plus.unsplash.com/premium_photo-1733306526358-ccebc598f0a2?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8amFrYXJ0YXxlbnwwfHwwfHx8MA%3D%3D
Bangkok,Thailand,Temples and nightlife,3,https://plus.unsplash.com/premium_photo-1661963188068-1bac46e28727?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8YmFuZ2tva3xlbnwwfHwwfHx8MA%3D%3D
Phuket,Thailand,Beach island destination,4,https://plus.unsplash.com/premium_photo-1661962958462-9e52fda9954d?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8cGh1a2V0fGVufDB8fDB8fHww
Chiang Mai,Thailand,Mountains and temples,3,https://plus.unsplash.com/premium_photo-1661929242720-140374d97c94?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8Y2hpYW5nJTIwbWFpfGVufDB8fDB8fHww
Singapore,Singapore,Modern and clean city,2,https://plus.unsplash.com/premium_photo-1697730373939-3ebcaa9d295e?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8c2luZ2Fwb3VyfGVufDB8fDB8fHww
Kuala Lumpur,Malaysia,Twin towers and culture,3,https://plus.unsplash.com/premium_photo-1700955413237-5e781377e055?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8a3VhbGElMjBsdW1wdXJ8ZW58MHx8MHx8fDA%3D
Langkawi,Malaysia,Island with beaches,3,https://plus.unsplash.com/premium_photo-1664121799894-eb6c2af13bc8?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8bGFuZ2thd2l8ZW58MHx8MHx8fDA%3D
Tokyo,Japan,High-tech and tradition,4,https://plus.unsplash.com/premium_photo-1661914240950-b0124f20a5c1?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8dG9reW98ZW58MHx8MHx8fDA%3D
Kyoto,Japan,Temples and culture,3,https://plus.unsplash.com/premium_photo-1723983555279-8de1f6e633e3?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8a3lvdG98ZW58MHx8MHx8fDA%3D
Osaka,Japan,Food and nightlife,3,https://plus.unsplash.com/premium_photo-1733353232022-f55baef22c5a?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8b3Nha2F8ZW58MHx8MHx8fDA%3D
Seoul,South Korea,Modern and traditional mix,3,https://plus.unsplash.com/premium_photo-1661886333708-877148b43ae1?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8c2VvdWx8ZW58MHx8MHx8fDA%3D
Busan,South Korea,Beach city,3,https://plus.unsplash.com/premium_photo-1661963130289-aa70dd516940?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8YnVzYW58ZW58MHx8MHx8fDA%3D
Beijing,China,Great Wall and history,3,https://plus.unsplash.com/premium_photo-1723433351351-0f6cd5d21537?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8YmVpamluZ3xlbnwwfHwwfHx8MA%3D%3D
Shanghai,China,Modern skyline city,3,https://images.unsplash.com/photo-1474181487882-5abf3f0ba6c2?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8M3x8c2hhbmdoYWl8ZW58MHx8MHx8fDA%3D
Hong Kong,China,Skyline and shopping,3,https://plus.unsplash.com/premium_photo-1661887277173-f996f36b8fb2?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8aG9uZyUyMGtvbmd8ZW58MHx8MHx8fDA%3D
Taipei,Taiwan,Street food and culture,3,https://plus.unsplash.com/premium_photo-1661955975506-04d3812be312?q=80&w=1171&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Kathmandu,Nepal,Himalayan gateway,3,https://plus.unsplash.com/premium_photo-1691735665916-cf31006dffe3?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8a2F0aG1hbmR1fGVufDB8fDB8fHww
Thimphu,Bhutan,Peaceful mountain city,3,https://plus.unsplash.com/premium_photo-1733317260639-6fb8eb703c78?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8Y29sb21ib3xlbnwwfHwwfHx8MA%3D%3D
Colombo,Sri Lanka,Coastal capital city,2,https://plus.unsplash.com/premium_photo-1733317260639-6fb8eb703c78?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8Y29sb21ib3xlbnwwfHwwfHx8MA%3D%3D
Kandy,Sri Lanka,Temple of Tooth relic,2,https://plus.unsplash.com/premium_photo-1680700237301-e54315378d5b?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8a2FuZHl8ZW58MHx8MHx8fDA%3D
Maldives,Maldives,Luxury island resorts,4,https://plus.unsplash.com/premium_photo-1666286163385-abe05f0326c4?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8bWFsZGl2aWVzfGVufDB8fDB8fHww
Doha,Qatar,Modern desert city,3,https://plus.unsplash.com/premium_photo-1697730101992-44eb50ae2d64?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8ZG9oYXxlbnwwfHwwfHx8MA%3D%3D
Muscat,Oman,Coastal and cultural city,3,https://plus.unsplash.com/premium_photo-1699537319359-90f9344cecf0?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8bXVzY2F0fGVufDB8fDB8fHww
Tehran,Iran,Historic and cultural hub,3,https://plus.unsplash.com/premium_photo-1697729905164-f61ad5207758?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8dGVocmFufGVufDB8fDB8fHww
Jerusalem,Israel,Religious and historic city,3,https://plus.unsplash.com/premium_photo-1697730130972-627b46998282?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8amVydXNhbGVtfGVufDB8fDB8fHww
Petra,Jordan,Ancient rock city,2,https://plus.unsplash.com/premium_photo-1724754604549-f48d1caab92a?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8cGV0cmF8ZW58MHx8MHx8fDA%3D
Hanoi,Vietnam,Old quarter and culture,3,https://plus.unsplash.com/premium_photo-1691960159290-6f4ace6e6c4c?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8aGFub2l8ZW58MHx8MHx8fDA%3D
Ho Chi Minh City,Vietnam,Modern and historic mix,3,https://plus.unsplash.com/premium_photo-1697729938237-680e72596e15?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8aG8lMjBjaGklMjBtaW5oJTIwY2l0eXxlbnwwfHwwfHx8MA%3D%3D
Siem Reap,Cambodia,Angkor Wat temples,3,https://plus.unsplash.com/premium_photo-1661963188432-5de8a11f21a7?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8c2llbSUyMHJlYXB8ZW58MHx8MHx8fDA%3D
Phnom Penh,Cambodia,Capital with history,2,https://plus.unsplash.com/premium_photo-1661882477461-20d16af70819?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8cGhub20lMjBwZW5ofGVufDB8fDB8fHww
Lhasa,Tibet,Spiritual mountain city,3,https://plus.unsplash.com/premium_photo-1661914279560-22b98d17d79c?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8bGhhc2F8ZW58MHx8MHx8fDA%3D
Ulaanbaatar,Mongolia,Steppe and culture,3,https://plus.unsplash.com/premium_photo-1697730217843-764889ae1995?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8dWxhYW5iYWF0YXJ8ZW58MHx8MHx8fDA%3D
Reykjavik,Iceland,Northern lights and nature,3,https://plus.unsplash.com/premium_photo-1661962984700-16b03ecda58a?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8cmV5a2phdmlrfGVufDB8fDB8fHww
Oslo,Norway,Fjords and modern city,3,https://plus.unsplash.com/premium_photo-1697729977121-26f13fd5434c?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8b3Nsb3xlbnwwfHwwfHx8MA%3D%3D
Stockholm,Sweden,Islands and design,3,https://plus.unsplash.com/premium_photo-1697729828023-35f1eb84db3e?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8c3RvY2tob2xtfGVufDB8fDB8fHww
Helsinki,Finland,Modern Nordic city,2,https://plus.unsplash.com/premium_photo-1742493639933-4eeb46df59af?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8aGVsc2lua2l8ZW58MHx8MHx8fDA%3D
Copenhagen,Denmark,Colorful harbour,2,https://plus.unsplash.com/premium_photo-1733277629981-8b0c770a553b?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8Y29wZW5oYWd8ZW58MHx8MHx8fDA%3D
